route,colors
Central Mediterranean,#FF6000
Eastern Mediterranean,#00FFFF
Egypt Grece Italy route,#FF0060
Lebanon to Cyprus route,#0040FF
Other,black
Western Mediterranean,#8000FF
Canary islands route,#20FF00
