Web ID,Reported Date,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Route,Supra Route,lat,lon
48309.0,2019-01-11,1.0,,1,,Other,Other,49.232567558821,-0.290652339042
48085.0,2018-12-25,1.0,,1,,Other,Other,43.609902506139,13.456590016544
48066.0,2018-12-19,1.0,,1,,Other,Other,45.12186906846,19.213236824545
46146.0,2018-12-13,3.0,,3,,Other,Other,40.989655,24.630244
49268.0,2018-12-01,1.0,,1,,Other,Other,45.081655670171,19.196530946899
46115.0,2018-11-30,1.0,,1,,Other,Other,45.408498,15.391822
46105.0,2018-11-28,1.0,,1,8.0,Other,Other,40.954982,24.386152
46104.0,2018-11-27,,1.0,1,5.0,Other,Other,45.565971,14.234048
46103.0,2018-11-27,4.0,,4,,Other,Other,41.051762,25.4757
46083.0,2018-11-18,1.0,,1,,Other,Other,51.09548780619001,1.120740941664
46099.0,2018-11-14,1.0,,1,,Other,Other,44.765773,20.467632
46074.0,2018-11-12,1.0,,1,9.0,Other,Other,40.7068125,23.1915625
46077.0,2018-11-11,1.0,,1,,Other,Other,44.522738789151,19.151800033374
46067.0,2018-11-10,1.0,,1,27.0,Other,Other,40.739954570559,23.016855162231003
46144.0,2018-11-05,1.0,,1,,Other,Other,39.48863,20.280311
46075.0,2018-11-01,,1.0,1,,Other,Other,44.52266229548,19.15257250957
46046.0,2018-10-25,1.0,2.0,3,,Other,Other,41.507704846227,26.598028237012
46045.0,2018-10-25,1.0,,1,,Other,Other,40.8806112,26.045885
45978.0,2018-10-13,11.0,,11,,Other,Other,40.946035470324,24.432263735596
45974.0,2018-10-10,3.0,,3,,Other,Other,41.339916614722,26.519326470019998
45969.0,2018-10-03,1.0,,1,,Other,Other,41.743599816321996,26.063311471875
45946.0,2018-09-23,1.0,,1,2.0,Other,Other,50.970998507163,1.850203957581
45926.0,2018-09-12,1.0,,1,,Other,Other,50.966811406705,3.850359244678
45912.0,2018-09-09,1.0,,1,,Other,Other,51.142912111817,2.866106903516
45857.0,2018-08-18,1.0,,1,,Other,Other,51.1784629,3.1238834
45842.0,2018-08-13,2.0,,2,10.0,Other,Other,45.1589211,15.0182443
45819.0,2018-08-01,2.0,,2,,Other,Other,44.97444970477,19.920842263477002
45816.0,2018-07-29,1.0,,1,,Other,Other,40.914511355632,26.260509666649998
45827.0,2018-07-23,1.0,,1,,Other,Other,41.076758001353,22.239659765625
45839.0,2018-07-20,2.0,,2,,Other,Other,40.8710918,26.047733822656003
45720.0,2018-07-05,1.0,,1,,Other,Other,44.809359680245,15.874422444489
44917.0,2018-06-27,3.0,,3,7.0,Other,Other,40.878451475853,25.697494104492
48319.0,2018-06-26,1.0,,1,,Other,Other,46.151241,14.995463
44918.0,2018-06-25,2.0,,2,17.0,Other,Other,41.659556367975,22.204903170507997
45760.0,2018-06-21,7.0,,7,,Other,Other,40.897774704222,26.252355751245
44914.0,2018-06-21,1.0,,1,,Other,Other,43.785532552199,7.620155941107
44906.0,2018-06-19,1.0,,1,,Other,Other,50.8657821,4.2925975
48320.0,2018-06-15,1.0,,1,,Other,Other,45.190030824204996,15.788108441401999
44873.0,2018-06-11,1.0,,1,,Other,Other,50.994724449985,2.277085285523
44872.0,2018-06-10,1.0,,1,,Other,Other,38.2279605,21.7216441
45872.0,2018-06-10,1.0,,1,,Other,Other,43.636944067172,13.376117586816001
44870.0,2018-06-08,5.0,,5,11.0,Other,Other,40.98790253083,24.600320223633
44867.0,2018-06-06,1.0,,1,,Other,Other,45.496406579411,12.227994364648
44837.0,2018-06-03,1.0,,1,,Other,Other,45.4602058,15.3453479
48318.0,2018-06-01,,2.0,2,,Other,Other,45.634664750091,15.346318921853001
44821.0,2018-05-25,1.0,,1,,Other,Other,45.074303924026005,6.656322815225001
44813.0,2018-05-21,1.0,,1,2.0,Other,Other,45.646072730881,15.343396132324
44875.0,2018-05-20,1.0,,1,,Other,Other,45.059379986471995,15.74571339574
44810.0,2018-05-18,1.0,,1,,Other,Other,44.937166942526,6.710634687744
44809.0,2018-05-17,1.0,,1,,Other,Other,50.488407374992,3.976906142944
48317.0,2018-05-17,1.0,,1,,Other,Other,45.255178603983005,15.41254492658
48314.0,2018-05-14,1.0,,1,,Other,Other,40.90201462118,26.252632625638
44803.0,2018-05-09,1.0,,1,,Other,Other,44.839670353177006,6.580775142822
48316.0,2018-05-04,1.0,,1,,Other,Other,38.229133692993,21.72051161124
44781.0,2018-04-30,1.0,,1,7.0,Other,Other,45.466267164047004,15.351576252453
44802.0,2018-04-30,1.0,,1,,Other,Other,45.614675326374,15.308079733899
44801.0,2018-04-29,1.0,,1,,Other,Other,45.18566014765099,15.531330179712
44874.0,2018-04-22,1.0,,1,,Other,Other,45.645918971705,15.357401710780001
44769.0,2018-04-20,1.0,,1,,Other,Other,40.671586372048004,22.895495607568
44757.0,2018-04-10,1.0,,1,3.0,Other,Other,45.568179032295,15.298477385448999
44755.0,2018-04-09,1.0,,1,1.0,Other,Other,45.569440837456,15.299164030957
45759.0,2018-04-04,1.0,,1,2.0,Other,Other,40.89569548842,26.252389505493003
44682.0,2018-03-28,1.0,,1,,Other,Other,50.6109683,3.0349045
44680.0,2018-03-24,1.0,,1,,Other,Other,45.0360233,7.6740315
44828.0,2018-03-24,2.0,,2,,Other,Other,40.857735248188,25.886080446033002
46142.0,2018-03-20,1.0,,1,,Other,Other,38.277998,21.764864
44668.0,2018-03-17,2.0,,2,7.0,Other,Other,41.152142427258,24.887520168262
44659.0,2018-03-12,1.0,,1,,Other,Other,40.730977330508,26.054894299424
44827.0,2018-03-03,1.0,,1,,Other,Other,40.730370782836,26.040387704956004
44383.0,2018-01-31,1.0,,1,,Other,Other,45.488092614501,15.386377716216
48315.0,2018-01-30,1.0,,1,,Other,Other,45.750322389476004,18.747277769935
44365.0,2018-01-29,1.0,,1,,Other,Other,51.193207888915005,3.081177320532
44826.0,2018-01-28,1.0,,1,,Other,Other,41.658826381798,26.486183883142
44105.0,2018-01-20,1.0,,1,,Other,Other,45.8484251,9.0077495
44092.0,2018-01-14,1.0,,1,,Other,Other,43.7743355,7.4931567
44094.0,2018-01-13,1.0,,1,,Other,Other,46.4982953,11.3547582
44089.0,2018-01-11,1.0,,1,,Other,Other,44.438246540769995,11.56951355625
44085.0,2018-01-09,1.0,,1,,Other,Other,50.937727764813005,1.9495066137700001
44645.0,2018-01-02,,1.0,1,1.0,Other,Other,45.559706177833995,15.298820708203001
44068.0,2017-12-29,1.0,,1,,Other,Other,50.9340765,1.9102149
44067.0,2017-12-28,1.0,,1,,Other,Other,40.976820140548,26.309509277344
44066.0,2017-12-27,1.0,,1,,Other,Other,43.767230179939006,7.448348116210999
44065.0,2017-12-21,1.0,,1,,Other,Other,50.953020261885996,1.919110804688
44003.0,2017-11-28,4.0,,4,4.0,Other,Other,40.937607,24.412866
43991.0,2017-11-22,1.0,,1,,Other,Other,41.2443761,26.1359431
43990.0,2017-11-21,1.0,,1,,Other,Other,45.152321827345,19.13310556875
51629.0,2017-11-09,1.0,,1,,Other,Other,41.039322102826,26.330938837939
43916.0,2017-11-01,1.0,,1,,Other,Other,46.484368743782994,11.341695839147999
43915.0,2017-10-30,1.0,,1,,Other,Other,46.125889800191004,13.202502908057001
43982.0,2017-10-16,1.0,,1,,Other,Other,42.4181324,2.8739219
43859.0,2017-10-08,1.0,,1,2.0,Other,Other,50.050562769818,9.699000771906
43858.0,2017-09-27,1.0,,1,,Other,Other,50.131333408968,1.809367179688
44360.0,2017-09-26,1.0,,1,,Other,Other,45.788895280256995,20.691360234765998
43767.0,2017-09-22,24.0,14.0,38,40.0,Other,Other,41.477695538355,30.2770281125
46043.0,2017-09-07,1.0,,1,,Other,Other,37.3088512,13.5857528
43669.0,2017-08-27,2.0,,2,,Other,Other,41.177506777048,26.219536803125
42389.0,2017-08-26,1.0,,1,,Other,Other,43.5488401,6.9866038
38436.0,2017-08-16,1.0,,1,,Other,Other,43.7974991,7.5959369
35471.0,2017-08-03,1.0,,1,,Other,Other,50.933683919048,1.994627452362
35485.0,2017-07-22,1.0,,1,,Other,Other,50.8605262,4.3617873
31134.0,2017-07-12,1.0,,1,,Other,Other,43.7895982,7.5310874
44099.0,2017-07-01,1.0,,1,,Other,Other,43.7912366,7.6075864
31029.0,2017-06-08,1.0,,1,,Other,Other,47.9228547,12.0702646
31024.0,2017-06-04,9.0,,9,7.0,Other,Other,41.7309539,26.0817814
31018.0,2017-06-01,1.0,,1,,Other,Other,37.9603066,23.7261772
30988.0,2017-05-24,1.0,,1,,Other,Other,43.548841660322,6.9866019487380004
30980.0,2017-05-19,1.0,,1,,Other,Other,43.5488264,6.985897929
30943.0,2017-05-02,1.0,,1,,Other,Other,48.8809481,2.353125
30932.0,2017-04-24,1.0,,1,14.0,Other,Other,41.1378552,24.8776355
30928.0,2017-04-21,1.0,,1,,Egypt Greece Italy route,Egypt Grece Italy route,41.111268,16.7755346
30902.0,2017-04-05,1.0,,1,,Other,Other,45.7863243,12.8106888
30899.0,2017-04-01,1.0,,1,,Other,Other,52.064073,-1.3736467
30875.0,2017-03-21,1.0,,1,,Other,Other,43.794087,7.5158895
43897.0,2017-03-11,1.0,,1,,Other,Other,50.994751460549004,2.277857761719
30843.0,2017-02-27,1.0,,1,,Other,Other,45.8430697,9.0001803
30830.0,2017-02-22,3.0,,3,5.0,Other,Other,40.9443915,26.2851702
30814.0,2017-02-17,1.0,,1,,Other,Other,43.5551788,6.9788798
30797.0,2017-02-12,1.0,,1,,Other,Other,43.0972495,22.8502873
30780.0,2017-02-05,1.0,,1,,Other,Other,43.7996518,7.5907284
30774.0,2017-02-03,1.0,,1,,Other,Other,46.177566,19.679562
30738.0,2017-01-21,1.0,,1,,Other,Other,50.9518803,1.8339367
30704.0,2017-01-14,1.0,,1,,Other,Other,40.8863787,26.1774086
30669.0,2017-01-06,2.0,,2,,Other,Other,42.0125,27.6064223
30661.0,2017-01-03,1.0,,1,,Other,Other,41.3454098,26.4808109
30658.0,2017-01-02,1.0,,1,,Other,Other,42.3833314,27.6611762
42803.0,2016-12-29,3.0,,3,12.0,Other,Other,44.6424911,20.2208588
42815.0,2016-12-26,1.0,,1,,Other,Other,43.5736643,22.448596
42788.0,2016-12-24,1.0,,1,,Other,Other,51.0333082,2.2118384
42821.0,2016-12-23,1.0,,1,,Other,Other,43.7891799,7.5116831
42446.0,2016-12-03,2.0,,2,1.0,Other,Other,47.4892495,12.0470017
42760.0,2016-11-23,1.0,,1,,Other,Other,43.159215,23.3381488
43034.0,2016-11-23,1.0,,1,,Other,Other,45.040846,19.2285877
44534.0,2016-11-21,1.0,,1,,Other,Other,43.797679911977994,7.60140659043
42750.0,2016-11-21,1.0,,1,,Other,Other,44.819432,20.3944884
42775.0,2016-11-21,1.0,,1,,Other,Other,46.4892313,11.3121383
42378.0,2016-11-16,1.0,,1,,Other,Other,46.0991713,10.7746988
42455.0,2016-10-26,1.0,,1,,Other,Other,50.9518803,1.8339367
42814.0,2016-10-23,1.0,,1,,Other,Other,43.4382779,6.4691092
42738.0,2016-10-18,1.0,,1,,Other,Other,51.1018952,0.9833916
42736.0,2016-10-18,1.0,,1,,Other,Other,50.5298736,2.626163
42718.0,2016-10-14,1.0,,1,2.0,Other,Other,50.9518803,1.8339367
42727.0,2016-10-12,1.0,,1,,Other,Other,41.3442161,26.0996916
42811.0,2016-10-09,1.0,,1,,Other,Other,43.8011707,7.5920284
42449.0,2016-10-09,1.0,,1,1.0,Other,Other,50.9518803,1.8339367
42711.0,2016-09-24,1.0,,1,,Other,Other,50.9518803,1.8339367
42692.0,2016-09-19,1.0,,1,,Other,Other,38.2490092,21.7105864
42861.0,2016-09-16,1.0,,1,,Other,Other,50.9518803,1.8339367
42873.0,2016-09-11,6.0,,6,4.0,Other,Other,43.8085947,22.904275
42706.0,2016-09-10,1.0,,1,,Other,Other,37.261167,-6.9559125
42845.0,2016-09-06,1.0,,1,,Other,Other,43.8013157,7.4575417
42872.0,2016-08-24,1.0,,1,5.0,Other,Other,43.2868787,21.9019461
42850.0,2016-08-22,1.0,,1,,Other,Other,50.9518803,1.8339367
42954.0,2016-07-27,1.0,,1,,Other,Other,50.9518803,1.8339367
42877.0,2016-07-26,1.0,,1,6.0,Other,Other,50.9518803,1.8339367
42613.0,2016-07-20,1.0,,1,,Other,Other,50.9518803,1.8339367
42599.0,2016-07-12,1.0,,1,,Other,Other,50.9654291,1.900613
42603.0,2016-07-04,1.0,,1,,Other,Other,50.972636,1.8907415
42545.0,2016-06-07,1.0,,1,,Other,Other,50.9004579,4.4809999
42444.0,2016-06-01,1.0,,1,6.0,Other,Other,46.0297665,20.0220261
42539.0,2016-05-28,1.0,,1,,Other,Other,50.9518803,1.8339367
42474.0,2016-05-09,1.0,,1,,Other,Other,50.9518803,1.8339367
42525.0,2016-04-01,1.0,,1,,Other,Other,51.7443629,-1.4500839
42407.0,2016-03-31,1.0,,1,,Other,Other,50.9518803,1.8339367
42406.0,2016-03-23,2.0,,2,,Other,Other,41.9736149,27.52643
42950.0,2016-03-14,3.0,,3,23.0,Other,Other,41.1347418,22.5016282
42949.0,2016-03-11,1.0,,1,,Other,Other,48.457552,13.432637
42953.0,2016-03-02,1.0,,1,,Other,Other,50.9518803,1.8339367
42495.0,2016-02-12,1.0,,1,,Other,Other,46.0910615,19.6369739
42440.0,2016-02-10,1.0,,1,,Other,Other,50.9518803,1.8339367
42939.0,2016-02-07,2.0,,2,,Other,Other,41.9358352,27.5293458
42411.0,2016-01-25,1.0,,1,2.0,Other,Other,41.0023608,22.8418114
42938.0,2016-01-23,1.0,,1,,Other,Other,42.8472657,22.7585621
42512.0,2016-01-23,1.0,,1,,Other,Other,43.6178474,13.4913043
42937.0,2016-01-20,1.0,,1,,Other,Other,42.8472657,22.7585621
42419.0,2016-01-17,1.0,,1,,Other,Other,66.9299814,30.2313597
42849.0,2016-01-10,1.0,,1,,Other,Other,48.7262433,2.3630585
40638.0,2015-12-31,2.0,,2,,Other,Other,43.080295,23.703613
40613.0,2015-12-28,1.0,,1,,Other,Other,51.016352,2.399438
41051.0,2015-12-24,1.0,,1,,Central Mediterranean 3,Central Mediterranean,33.6312953,15.6154272
40607.0,2015-12-19,1.0,,1,,Other,Other,40.067293,9.175777
41043.0,2015-12-03,1.0,,1,,Other,Other,50.9518803,1.8339367
40570.0,2015-12-03,1.0,,1,,Other,Other,40.930111,21.771839
41042.0,2015-12-02,1.0,,1,,Other,Other,50.9518803,1.8339367
40844.0,2015-11-17,2.0,,2,,Other,Other,52.783148,-1.67928
40859.0,2015-11-13,1.0,,1,,Other,Other,40.8781198,26.1554593
40715.0,2015-11-13,2.0,,2,,Other,Other,46.552688,15.663439
40584.0,2015-10-31,1.0,,1,,Other,Other,45.2604317,19.170648
40610.0,2015-10-28,1.0,,1,,Other,Other,48.2568653,12.9518814
41061.0,2015-10-26,1.0,,1,,Other,Other,50.9518803,1.8339367
40855.0,2015-10-16,1.0,,1,,Other,Other,51.0077321,1.4228401
40684.0,2015-10-15,1.0,,1,,Other,Other,42.3452,27.1813
41049.0,2015-10-15,1.0,,1,,Other,Other,50.95129,1.858686
40850.0,2015-10-15,1.0,,1,,Other,Other,50.9364,1.79995
41044.0,2015-10-14,1.0,,1,,Other,Other,51.299076,0.51688
41037.0,2015-10-05,1.0,,1,,Other,Other,42.3092,21.6499
40612.0,2015-09-30,1.0,,1,,Other,Other,50.9223,1.78408
40287.0,2015-09-29,1.0,,1,,Other,Other,50.9513,1.85869
41052.0,2015-09-29,1.0,,1,,Other,Other,50.937235,1.890964
40849.0,2015-09-24,1.0,,1,,Other,Other,50.9232,1.78285
40532.0,2015-09-20,1.0,,1,,Other,Other,50.966392,1.8623249
40572.0,2015-09-18,1.0,,1,,Other,Other,50.9518803,1.8339367
40670.0,2015-09-12,1.0,,1,,Other,Other,52.3105386,4.7682744
41048.0,2015-09-10,1.0,,1,2.0,Other,Other,46.247356,20.090216
40606.0,2015-09-04,1.0,,1,,Other,Other,47.4760233,18.9009563
40858.0,2015-09-04,1.0,,1,,Other,Other,40.858969,25.853259
40390.0,2015-09-01,1.0,,1,,Other,Other,40.9424403,21.943246
40846.0,2015-08-27,71.0,,71,,Other,Other,48.2081743,16.3738189
41047.0,2015-07-29,1.0,,1,,Other,Other,50.9513,1.85869
41056.0,2015-07-27,1.0,,1,,Other,Other,50.9513,1.85869
40369.0,2015-07-24,1.0,,1,,Other,Other,50.9264539,1.7968315
41005.0,2015-07-24,1.0,,1,,Other,Other,51.0960291,1.0379268
41046.0,2015-07-24,1.0,,1,,Other,Other,50.0035406,2.1719156
40366.0,2015-07-19,1.0,,1,,Other,Other,49.3824,2.10938
41055.0,2015-07-16,1.0,,1,,Other,Other,50.9513,1.85869
41041.0,2015-07-15,1.0,,1,,Other,Other,46.186966,19.991362
41054.0,2015-07-13,1.0,,1,,Other,Other,51.0179,1.47455
40857.0,2015-07-07,1.0,,1,,Other,Other,50.9143,1.80038
41053.0,2015-06-29,1.0,,1,,Other,Other,49.6107,2.10938
